"favourite";"name";"activity";"course";"date";"duration";"distance";"elevationGain";"averagePace";"maxPace";"calories"
" false";"Run home from work";"Running";;"Thu, 28 Jun 2012 18:16";"1:32:19";15.83;194;"5:50";"2:43";"1,335"
" false";"Run to work";"Running";;"Thu, 28 Jun 2012 6:15";"2:06:02";22.02;183;"5:44";"3:09";"1,860"
" false";"Barefoot Run";"Running";;"Wed, 27 Jun 2012 4:45";"54:30";9.73;41;"5:36";"3:51";811
" false";"Untitled";"Running";;"Tue, 26 Jun 2012 6:16";"2:05:35";22.14;162;"5:40";"2:06";"1,872"
" false";"Untitled";"Running";;"Sun, 24 Jun 2012 11:38";"59:44";10.53;49;"5:40";"2:54";885
" false";"Quick 30KM";"Running";"Quick 30KM";"Sat, 23 Jun 2012 5:50";"3:00:00";31.5;345;"5:43";;
" false";"Untitled";"Running";;"Wed, 20 Jun 2012 6:22";"2:06:37";21.93;270;"5:46";"3:10";"1,862"
" false";"Untitled";"Running";;"Tue, 19 Jun 2012 6:17";"2:09:04";22.5;178;"5:44";"3:09";"1,903"
" false";"Untitled";"Running";;"Sun, 17 Jun 2012 11:04";"1:02:51";10.39;55;"6:03";"2:06";869
" false";"Untitled";"Running";;"Sat, 16 Jun 2012 5:50";"1:48:56";18.03;106;"6:02";"3:51";"1,522"
" false";"Untitled";"Running";;"Thu, 14 Jun 2012 6:31";"2:01:08";20.46;156;"5:55";"3:31";"1,739"
" true";"Boye's Drive & Ou Kaapseweg";"Running";;"Mon, 4 Jun 2012 5:39";"3:04:19";28.38;570;"6:30";"4:30";"2,394"
" false";"Untitled";"Running";;"Sat, 2 Jun 2012 17:05";"42:35";7.59;130;"5:37";"2:28";644
" false";"Untitled";"Running";;"Wed, 30 May 2012 5:22";"2:55:45";29.82;433;"5:54";"3:01";"2,513"
" true";"Cardiff Ultra";"Running";;"Sun, 20 May 2012 7:59";"9:03:26";81.56;683;"6:40";"1:54";"6,895"
" false";"Untitled";"Running";;"Sun, 13 May 2012 15:49";"1:00:22";10.98;681;"5:30";"3:34";932
" false";"Untitled";"Running";;"Sat, 12 May 2012 6:33";"1:43:16";18.48;87;"5:35";"4:10";"1,555"
" false";"Untitled";"Running";;"Fri, 11 May 2012 6:22";"2:03:58";22.22;225;"5:35";":51";"1,908"
" false";"Run to work";"Running";"Run To Work";"Wed, 9 May 2012 6:15";"2:05:00";22;;"5:40";"--";
" false";"Untitled";"Running";;"Mon, 7 May 2012 10:20";"2:09:50";21.89;126;"5:56";"4:24";"1,852"
" ";;;;;;;;;;
